energy_pos,l_z_pos,energy_neg,l_z_neg
-84449.98012111872,4693.794184665753,-84449.98012111872,-4693.794184665753
-84264.7584677401,4713.114812252732,-84264.7584677401,-4713.114812252732
-84080.54047941907,4732.425343866516,-84080.54047941907,-4732.425343866516
-83897.31686750783,4751.725774560697,-83897.31686750783,-4751.725774560697
-83715.0784711657,4771.0160994476455,-83715.0784711657,-4771.0160994476455
-83533.8162549559,4790.296313704777,-83533.8162549559,-4790.296313704777
-83353.52130649996,4809.566412580488,-83353.52130649996,-4809.566412580488
-83174.18483418849,4828.826391399758,-83174.18483418849,-4828.826391399758
-82995.79816494638,4848.076245569432,-82995.79816494638,-4848.076245569432
-82818.35274205072,4867.315970583223,-82818.35274205072,-4867.315970583223
-82641.84012300073,4886.545562026398,-82641.84012300073,-4886.545562026398
-82466.25197743696,4905.765015580215,-82466.25197743696,-4905.765015580215
-82291.58008510957,4924.974327026072,-82291.58008510957,-4924.974327026072
-82117.8163338933,4944.173492249413,-82117.8163338933,-4944.173492249413
-81944.95271784875,4963.3625072434015,-81944.95271784875,-4963.3625072434015
-81772.98133532763,4982.5413681123355,-81772.98133532763,-4982.5413681123355
-81601.89438712176,5001.710071074863,-81601.89438712176,-5001.710071074863
-81431.68417465399,5020.868612466972,-81431.68417465399,-5020.868612466972
-81262.34309820992,5040.016988744773,-81262.34309820992,-5040.016988744773
-81093.86365520961,5059.1551964871005,-81093.86365520961,-5059.1551964871005
-80926.23843851776,5078.283232397907,-80926.23843851776,-5078.283232397907
-80759.4601347918,5097.401093308497,-80759.4601347918,-5097.401093308497
-80593.52152286642,5116.5087761795685,-80593.52152286642,-5116.5087761795685
-80428.41547217366,5135.606278103106,-80428.41547217366,-5135.606278103106
-80264.13494119795,5154.693596304118,-80264.13494119795,-5154.693596304118
-80100.6729759646,5173.7707281422,-80100.6729759646,-5173.7707281422
-79938.02270856132,5192.837671112982,-79938.02270856132,-5192.837671112982
-79776.17735569165,5211.894422849427,-79776.17735569165,-5211.894422849427
-79615.13021725953,5230.940981122987,-79615.13021725953,-5230.940981122987
-79454.87467498408,5249.977343844653,-79454.87467498408,-5249.977343844653
